,0.00 ,1.00 ,2.00 ,3.00 ,4.00 ,5.00 ,6.00 ,7.00 ,8.00 ,9.00 ,10.00 ,11.00 ,12.00 ,13.00 ,14.00 
0.00 ,1.00 ,0.00 ,(0.00),0.00 ,(0.00),(0.00),(0.00),(0.00),0.00 ,(0.00),0.00 ,(0.00),(0.00),0.00 ,0.00 
1.00 ,0.00 ,1.00 ,0.00 ,(0.00),(0.00),0.00 ,0.00 ,(0.00),0.00 ,0.00 ,(0.00),0.00 ,(0.00),(0.00),(0.00)
2.00 ,0.00 ,(0.00),1.00 ,0.00 ,0.00 ,0.00 ,(0.00),0.00 ,(0.00),0.00 ,(0.00),0.00 ,(0.00),(0.00),0.00 
3.00 ,(0.00),0.00 ,(0.00),1.00 ,0.00 ,0.00 ,(0.00),(0.00),(0.00),(0.00),0.00 ,(0.00),0.00 ,(0.00),0.00 
4.00 ,0.00 ,0.00 ,(0.00),(0.00),1.00 ,(0.00),0.00 ,(0.00),0.00 ,0.00 ,0.00 ,0.00 ,(0.00),(0.00),0.00 
5.00 ,(0.00),(0.00),(0.00),(0.00),0.00 ,1.00 ,(0.00),(0.00),0.00 ,(0.00),0.00 ,(0.00),0.00 ,(0.00),(0.00)
6.00 ,(0.00),0.00 ,(0.00),0.00 ,(0.00),(0.00),1.00 ,(0.00),(0.00),(0.00),0.00 ,0.00 ,(0.00),0.00 ,0.00 
7.00 ,(0.00),(0.00),(0.00),0.00 ,0.00 ,(0.00),(0.00),1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
8.00 ,0.00 ,(0.00),0.00 ,0.00 ,0.00 ,(0.00),(0.00),0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,(0.00),0.00 ,(0.00)
9.00 ,(0.00),(0.00),(0.00),0.00 ,(0.00),0.00 ,0.00 ,0.00 ,(0.00),1.00 ,(0.00),0.00 ,(0.00),(0.00),(0.00)
10.00 ,(0.00),(0.00),0.00 ,0.00 ,0.00 ,0.00 ,(0.00),0.00 ,0.00 ,0.00 ,1.00 ,(0.00),(0.00),(0.00),(0.00)
11.00 ,(0.00),0.00 ,0.00 ,(0.00),(0.00),(0.00),(0.00),(0.00),(0.00),(0.00),0.00 ,1.00 ,0.00 ,(0.00),0.00 
12.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(0.00),(0.00),(0.00),0.00 ,(0.00),(0.00),0.00 ,0.00 ,1.00 ,0.00 ,0.00 
13.00 ,(0.00),0.00 ,(0.00),(0.00),(0.00),(0.00),(0.00),0.00 ,(0.00),(0.00),0.00 ,(0.00),0.00 ,1.00 ,0.00 
14.00 ,(0.00),(0.00),(0.00),(0.00),0.00 ,0.00 ,(0.00),0.00 ,0.00 ,0.00 ,(0.00),(0.00),(0.00),0.00 ,1.00 
15.00 ,(25.55),51.44 ,(35.91),(28.43),(26.02),(44.82),4.58 ,(21.76),(33.62),(30.31),8.72 ,(19.17),42.11 ,45.99 ,60.61 
